bash: module: line 1: syntax error: unexpected end of file
bash: error importing function definition for `module'
000001
12
hdfs://babar.local:54310/user/hl1283/rgfout
login-3-33.local
Starting training
perl ./call_exe.pl ./rgf train_test ./long login-3-33.local 1245 12 000001
connecting to login-3-33.local:22222
@VIS: 193.946 97-27 97-30
@VIS: 194.414 root 98-0
@VIS: 194.414 98-0 98-1
@VIS: 194.414 98-0 98-2
@VIS: 194.98 98-1 98-3
@VIS: 194.98 98-1 98-4
@VIS: 195.462 98-3 98-5
@VIS: 195.462 98-3 98-6
@VIS: 195.906 98-5 98-7
@VIS: 195.906 98-5 98-8
@VIS: 196.37 98-7 98-9
@VIS: 196.37 98-7 98-10
@VIS: 196.802 98-9 98-11
@VIS: 196.802 98-9 98-12
@VIS: 197.223 98-11 98-13
@VIS: 197.223 98-11 98-14
@VIS: 197.652 98-13 98-15
@VIS: 197.652 98-13 98-16
@VIS: 198.482 98-15 98-17
@VIS: 198.482 98-15 98-18
@VIS: 198.483 opt
@VIS: 208.811 root 99-0
@VIS: 208.811 99-0 99-1
@VIS: 208.811 99-0 99-2
@VIS: 209.369 root 100-0
@VIS: 209.369 100-0 100-1
@VIS: 209.369 100-0 100-2
@VIS: 210.157 100-1 100-3
@VIS: 210.157 100-1 100-4
@VIS: 210.862 root 101-0
@VIS: 210.862 101-0 101-1
@VIS: 210.862 101-0 101-2
@VIS: 211.678 root 102-0
@VIS: 211.678 102-0 102-1
@VIS: 211.678 102-0 102-2
@VIS: 212.252 102-1 102-3
@VIS: 212.252 102-1 102-4
@VIS: 212.73 root 103-0
@VIS: 212.73 103-0 103-1
@VIS: 212.73 103-0 103-2
@VIS: 213.289 root 104-0
@VIS: 213.289 104-0 104-1
@VIS: 213.289 104-0 104-2
@VIS: 214.071 104-1 104-3
@VIS: 214.071 104-1 104-4
